# eventtype event clockticks time[s]  Energy[%]
U 0 1148728 0.22926915244781504 99.83392772609845
U 1 1281225 0.2557126635917448 99.78107317509252
D 2 1419565 0.28315963663360794 99.72196671184588
D 3 1551194 0.30941568094130656 99.66406228255575
D 4 4381052 0.8738903207827162 99.1145805348085
D 5 4513089 0.9002268343972356 99.0569181937093
U 6 4648534 0.92777638773766 98.99811202611048
U 7 4781638 0.9543416978549031 98.9455859883813
U 8 7073231 1.4117087141889262 98.61949114584598
U 9 7206605 1.4383294061490792 98.56711376749661
D 10 7349230 1.4659487765656631 98.50851074009273
D 11 7481664 1.4923663300996903 98.45109030813279
D 12 10310032 2.056539472562922 97.90979730038634
D 13 10442880 2.083037818338844 97.85261617504946
U 14 10575756 2.1107603222171756 97.79431030311376
U 15 10709753 2.137503702747044 97.74225828764739
U 16 12996362 2.59387617194731 97.42236242121172
U 17 13130633 2.6206750542516306 97.37045690066252
D 18 13277537 2.648467584682977 97.31235157766649
D 19 13410788 2.6750472981528843 97.25540959601034
D 20 16237646 3.238920342291001 96.72216347030758
D 21 16371307 3.265581172341703 96.6654580567328
U 22 16501646 3.293477393239069 96.60764679653052
U 23 16636533 3.320399863081577 96.55606353421268
U 24 18918155 3.775775627134962 96.24224778757875
U 25 19053313 3.8027537187596976 96.19080889127032
D 26 19204506 3.8307201761933434 96.13319562795262
D 27 19338583 3.8574627031547886 96.07672663360707
D 28 22163937 4.421037006261096 95.55138843321178
D 29 22298424 4.447860975550705 95.49515331028714
U 30 22426216 4.475931684330933 95.43783106145649
U 31 22562007 4.503034271970938 95.38671136451642
U 32 24838623 4.957411103779526 95.07885941733578
U 33 24974699 4.984569433284239 95.02788199195076
D 34 25130178 5.01271058908759 94.97075522941402
D 35 25265063 5.0396165859526825 94.9147538421435
D 36 28088925 5.602893464445634 94.39718743726654
D 37 28224228 5.629881230799596 94.34141726532836
U 38 28349476 5.658127202739242 94.28457851396395
U 39 28486196 5.6854109463858356 94.23391727400764
U 40 30757772 6.138786550305779 93.93191527925272
U 41 30894758 6.166126155971023 93.88139424954265
D 42 31054543 6.194442785924553 93.82474851217326
D 43 31190238 6.221512911973194 93.76920943177876
